   TIME        H           H-          H+          H2+         H3+         He+         He          HeH+        C+          C         
     1.259E-017  1.590E-022  1.592E-031  1.183E-029  4.898E-028  2.540E-040  8.121E-029  8.500E-002  2.699E-042  1.197E-044  4.268E-025
     1.585E-017  3.592E-022  3.596E-031  2.673E-029  1.106E-027  1.588E-039  1.834E-028  8.500E-002  1.688E-041  7.486E-044  9.640E-025
     1.995E-017  6.111E-022  6.119E-031  4.548E-029  1.883E-027  3.852E-039  3.121E-028  8.500E-002  4.094E-041  1.816E-043  1.640E-024
     2.512E-017  9.284E-022  9.295E-031  6.909E-029  2.860E-027  7.260E-039  4.742E-028  8.500E-002  7.716E-041  3.422E-043  2.492E-024
     3.162E-017  1.328E-021  1.329E-030  9.882E-029  4.090E-027  1.243E-038  6.781E-028  8.500E-002  1.321E-040  5.861E-043  3.564E-024
     3.981E-017  1.831E-021  1.833E-030  1.362E-028  5.639E-027  2.035E-038  9.349E-028  8.500E-002  2.162E-040  9.592E-043  4.913E-024
     5.012E-017  2.464E-021  2.467E-030  1.833E-028  7.589E-027  3.375E-038  1.258E-027  8.500E-002  3.587E-040  1.591E-042  6.612E-024
     6.310E-017  3.260E-021  3.264E-030  2.427E-028  1.004E-026  5.555E-038  1.665E-027  8.500E-002  5.904E-040  2.619E-042  8.751E-024
     7.943E-017  4.264E-021  4.269E-030  3.173E-028  1.313E-026  9.129E-038  2.178E-027  8.500E-002  9.702E-040  4.303E-042  1.144E-023
     1.000E-016  5.527E-021  5.533E-030  4.113E-028  1.703E-026  1.497E-037  2.823E-027  8.500E-002  1.591E-039  7.055E-042  1.483E-023
     1.259E-016  7.116E-021  7.125E-030  5.296E-028  2.192E-026  2.434E-037  3.635E-027  8.500E-002  2.587E-039  1.147E-041  1.910E-023
     1.585E-016  9.118E-021  9.129E-030  6.786E-028  2.809E-026  3.951E-037  4.657E-027  8.500E-002  4.198E-039  1.862E-041  2.447E-023
     1.995E-016  1.164E-020  1.165E-029  8.661E-028  3.585E-026  6.384E-037  5.944E-027  8.500E-002  6.785E-039  3.010E-041  3.124E-023
     2.512E-016  1.481E-020  1.483E-029  1.102E-027  4.563E-026  1.028E-036  7.564E-027  8.500E-002  1.092E-038  4.844E-041  3.975E-023
     3.162E-016  1.880E-020  1.883E-029  1.399E-027  5.793E-026  1.651E-036  9.604E-027  8.500E-002  1.754E-038  7.782E-041  5.047E-023
     3.981E-016  2.383E-020  2.386E-029  1.774E-027  7.342E-026  2.645E-036  1.217E-026  8.500E-002  2.811E-038  1.247E-040  6.397E-023
     5.012E-016  3.016E-020  3.020E-029  2.245E-027  9.292E-026  4.228E-036  1.540E-026  8.500E-002  4.494E-038  1.993E-040  8.096E-023
     6.310E-016  3.813E-020  3.818E-029  2.838E-027  1.175E-025  6.750E-036  1.947E-026  8.500E-002  7.173E-038  3.182E-040  1.023E-022
     7.943E-016  4.816E-020  4.822E-029  3.584E-027  1.484E-025  1.076E-035  2.460E-026  8.500E-002  1.143E-037  5.072E-040  1.293E-022
     1.000E-015  6.079E-020  6.087E-029  4.524E-027  1.873E-025  1.713E-035  3.105E-026  8.500E-002  1.821E-037  8.076E-040  1.632E-022
     1.259E-015  7.669E-020  7.678E-029  5.708E-027  2.363E-025  2.726E-035  3.917E-026  8.500E-002  2.897E-037  1.285E-039  2.058E-022
     1.585E-015  9.671E-020  9.683E-029  7.197E-027  2.979E-025  4.333E-035  4.939E-026  8.500E-002  4.605E-037  2.043E-039  2.596E-022
     1.995E-015  1.219E-019  1.221E-028  9.073E-027  3.756E-025  6.884E-035  6.226E-026  8.500E-002  7.316E-037  3.245E-039  3.272E-022
     2.512E-015  1.536E-019  1.538E-028  1.143E-026  4.733E-025  1.093E-034  7.847E-026  8.500E-002  1.162E-036  5.153E-039  4.124E-022
     3.162E-015  1.936E-019  1.938E-028  1.441E-026  5.963E-025  1.735E-034  9.886E-026  8.500E-002  1.844E-036  8.180E-039  5.196E-022
     3.981E-015  2.438E-019  2.441E-028  1.815E-026  7.512E-025  2.754E-034  1.245E-025  8.500E-002  2.927E-036  1.298E-038  6.545E-022
     5.012E-015  3.071E-019  3.075E-028  2.286E-026  9.462E-025  4.369E-034  1.569E-025  8.500E-002  4.643E-036  2.059E-038  8.244E-022
     6.310E-015  3.868E-019  3.873E-028  2.879E-026  1.192E-024  6.930E-034  1.976E-025  8.500E-002  7.365E-036  3.267E-038  1.038E-021
     7.943E-015  4.872E-019  4.877E-028  3.626E-026  1.501E-024  1.099E-033  2.488E-025  8.500E-002  1.168E-035  5.180E-038  1.308E-021
     1.000E-014  6.134E-019  6.142E-028  4.566E-026  1.890E-024  1.743E-033  3.133E-025  8.500E-002  1.852E-035  8.215E-038  1.647E-021
     1.259E-014  7.724E-019  7.734E-028  5.749E-026  2.380E-024  2.763E-033  3.945E-025  8.500E-002  2.936E-035  1.302E-037  2.073E-021
     1.585E-014  9.726E-019  9.738E-028  7.239E-026  2.996E-024  4.381E-033  4.967E-025  8.500E-002  4.655E-035  2.065E-037  2.611E-021
     1.995E-014  1.225E-018  1.226E-027  9.114E-026  3.773E-024  6.944E-033  6.255E-025  8.500E-002  7.380E-035  3.274E-037  3.287E-021
     2.512E-014  1.542E-018  1.544E-027  1.147E-025  4.750E-024  1.101E-032  7.875E-025  8.500E-002  1.170E-034  5.189E-037  4.138E-021
     3.162E-014  1.941E-018  1.944E-027  1.445E-025  5.980E-024  1.745E-032  9.915E-025  8.500E-002  1.855E-034  8.226E-037  5.210E-021
     3.981E-014  2.444E-018  2.447E-027  1.819E-025  7.529E-024  2.766E-032  1.248E-024  8.500E-002  2.940E-034  1.304E-036  6.560E-021
     5.012E-014  3.077E-018  3.081E-027  2.290E-025  9.479E-024  4.384E-032  1.572E-024  8.500E-002  4.659E-034  2.067E-036  8.259E-021
     6.310E-014  3.874E-018  3.879E-027  2.883E-025  1.193E-023  6.949E-032  1.979E-024  8.500E-002  7.385E-034  3.276E-036  1.040E-020
     7.943E-014  4.877E-018  4.883E-027  3.630E-025  1.502E-023  1.101E-031  2.491E-024  8.500E-002  1.171E-033  5.192E-036  1.309E-020
     1.000E-013  6.140E-018  6.147E-027  4.570E-025  1.892E-023  1.746E-031  3.136E-024  8.500E-002  1.855E-033  8.229E-036  1.648E-020
     1.259E-013  7.730E-018  7.739E-027  5.753E-025  2.381E-023  2.767E-031  3.948E-024  8.500E-002  2.941E-033  1.304E-035  2.075E-020
     1.585E-013  9.732E-018  9.743E-027  7.243E-025  2.998E-023  4.385E-031  4.970E-024  8.500E-002  4.661E-033  2.067E-035  2.612E-020
     1.995E-013  1.225E-017  1.227E-026  9.118E-025  3.774E-023  6.951E-031  6.257E-024  8.500E-002  7.387E-033  3.276E-035  3.288E-020
     2.512E-013  1.542E-017  1.544E-026  1.148E-024  4.752E-023  1.102E-030  7.878E-024  8.500E-002  1.171E-032  5.193E-035  4.140E-020
     3.162E-013  1.942E-017  1.944E-026  1.445E-024  5.982E-023  1.746E-030  9.917E-024  8.500E-002  1.856E-032  8.230E-035  5.212E-020
     3.981E-013  2.445E-017  2.448E-026  1.819E-024  7.531E-023  2.767E-030  1.249E-023  8.500E-002  2.941E-032  1.304E-034  6.561E-020
     5.012E-013  3.078E-017  3.081E-026  2.290E-024  9.481E-023  4.386E-030  1.572E-023  8.500E-002  4.661E-032  2.067E-034  8.260E-020
     6.310E-013  3.874E-017  3.879E-026  2.883E-024  1.194E-022  6.951E-030  1.979E-023  8.500E-002  7.387E-032  3.277E-034  1.040E-019
     7.943E-013  4.878E-017  4.884E-026  3.630E-024  1.503E-022  1.102E-029  2.491E-023  8.500E-002  1.171E-031  5.193E-034  1.309E-019
     1.000E-012  6.141E-017  6.148E-026  4.570E-024  1.892E-022  1.746E-029  3.136E-023  8.500E-002  1.856E-031  8.231E-034  1.648E-019
     1.259E-012  7.730E-017  7.740E-026  5.753E-024  2.382E-022  2.767E-029  3.948E-023  8.500E-002  2.941E-031  1.304E-033  2.075E-019
     1.585E-012  9.732E-017  9.744E-026  7.243E-024  2.998E-022  4.386E-029  4.971E-023  8.500E-002  4.661E-031  2.067E-033  2.612E-019
     1.995E-012  1.225E-016  1.227E-025  9.118E-024  3.774E-022  6.951E-029  6.258E-023  8.500E-002  7.388E-031  3.277E-033  3.289E-019
     2.512E-012  1.542E-016  1.544E-025  1.148E-023  4.752E-022  1.102E-028  7.878E-023  8.500E-002  1.171E-030  5.193E-033  4.140E-019
     3.162E-012  1.942E-016  1.944E-025  1.445E-023  5.982E-022  1.746E-028  9.918E-023  8.500E-002  1.856E-030  8.231E-033  5.212E-019
     3.981E-012  2.445E-016  2.448E-025  1.819E-023  7.531E-022  2.767E-028  1.249E-022  8.500E-002  2.941E-030  1.305E-032  6.561E-019
     5.012E-012  3.078E-016  3.081E-025  2.290E-023  9.481E-022  4.386E-028  1.572E-022  8.500E-002  4.661E-030  2.068E-032  8.260E-019
     6.310E-012  3.874E-016  3.879E-025  2.884E-023  1.194E-021  6.951E-028  1.979E-022  8.500E-002  7.388E-030  3.277E-032  1.040E-018
     7.943E-012  4.878E-016  4.884E-025  3.630E-023  1.503E-021  1.102E-027  2.491E-022  8.500E-002  1.171E-029  5.193E-032  1.309E-018
     1.000E-011  6.141E-016  6.148E-025  4.570E-023  1.892E-021  1.746E-027  3.136E-022  8.500E-002  1.856E-029  8.231E-032  1.648E-018
     1.259E-011  7.731E-016  7.740E-025  5.753E-023  2.382E-021  2.767E-027  3.948E-022  8.500E-002  2.941E-029  1.305E-031  2.075E-018
     1.585E-011  9.732E-016  9.744E-025  7.243E-023  2.998E-021  4.386E-027  4.971E-022  8.500E-002  4.661E-029  2.068E-031  2.612E-018
     1.995E-011  1.225E-015  1.227E-024  9.118E-023  3.774E-021  6.951E-027  6.258E-022  8.500E-002  7.388E-029  3.277E-031  3.289E-018
     2.512E-011  1.542E-015  1.544E-024  1.148E-022  4.752E-021  1.102E-026  7.878E-022  8.500E-002  1.171E-028  5.193E-031  4.140E-018
     3.162E-011  1.942E-015  1.944E-024  1.445E-022  5.982E-021  1.746E-026  9.918E-022  8.500E-002  1.856E-028  8.231E-031  5.212E-018
     3.981E-011  2.445E-015  2.448E-024  1.819E-022  7.531E-021  2.767E-026  1.249E-021  8.500E-002  2.941E-028  1.305E-030  6.562E-018
     5.012E-011  3.078E-015  3.081E-024  2.290E-022  9.481E-021  4.386E-026  1.572E-021  8.500E-002  4.661E-028  2.068E-030  8.260E-018
     6.310E-011  3.874E-015  3.879E-024  2.884E-022  1.194E-020  6.951E-026  1.979E-021  8.500E-002  7.388E-028  3.277E-030  1.040E-017
     7.943E-011  4.878E-015  4.884E-024  3.630E-022  1.503E-020  1.102E-025  2.491E-021  8.500E-002  1.171E-027  5.193E-030  1.309E-017
     1.000E-010  6.141E-015  6.148E-024  4.570E-022  1.892E-020  1.746E-025  3.136E-021  8.500E-002  1.856E-027  8.231E-030  1.648E-017
     1.259E-010  7.731E-015  7.740E-024  5.753E-022  2.382E-020  2.767E-025  3.948E-021  8.500E-002  2.941E-027  1.305E-029  2.075E-017
     1.585E-010  9.732E-015  9.744E-024  7.243E-022  2.998E-020  4.386E-025  4.971E-021  8.500E-002  4.661E-027  2.068E-029  2.612E-017
     1.995E-010  1.225E-014  1.227E-023  9.119E-022  3.774E-020  6.951E-025  6.258E-021  8.500E-002  7.387E-027  3.277E-029  3.289E-017
     2.512E-010  1.542E-014  1.544E-023  1.148E-021  4.752E-020  1.102E-024  7.878E-021  8.500E-002  1.171E-026  5.193E-029  4.140E-017
     3.162E-010  1.942E-014  1.944E-023  1.445E-021  5.982E-020  1.746E-024  9.918E-021  8.500E-002  1.856E-026  8.231E-029  5.212E-017
     3.981E-010  2.445E-014  2.448E-023  1.819E-021  7.531E-020  2.767E-024  1.249E-020  8.500E-002  2.941E-026  1.305E-028  6.562E-017
     5.012E-010  3.078E-014  3.081E-023  2.290E-021  9.481E-020  4.386E-024  1.572E-020  8.500E-002  4.661E-026  2.068E-028  8.260E-017
     6.310E-010  3.874E-014  3.879E-023  2.884E-021  1.194E-019  6.951E-024  1.979E-020  8.500E-002  7.387E-026  3.277E-028  1.040E-016
     7.943E-010  4.878E-014  4.884E-023  3.630E-021  1.503E-019  1.102E-023  2.491E-020  8.500E-002  1.171E-025  5.193E-028  1.309E-016
     1.000E-009  6.141E-014  6.148E-023  4.570E-021  1.892E-019  1.746E-023  3.136E-020  8.500E-002  1.855E-025  8.231E-028  1.648E-016
     1.259E-009  7.731E-014  7.740E-023  5.753E-021  2.381E-019  2.767E-023  3.948E-020  8.500E-002  2.941E-025  1.305E-027  2.075E-016
     1.585E-009  9.732E-014  9.744E-023  7.243E-021  2.998E-019  4.386E-023  4.971E-020  8.500E-002  4.660E-025  2.068E-027  2.612E-016
     1.995E-009  1.225E-013  1.227E-022  9.119E-021  3.774E-019  6.951E-023  6.258E-020  8.500E-002  7.386E-025  3.277E-027  3.289E-016
     2.512E-009  1.542E-013  1.544E-022  1.148E-020  4.751E-019  1.102E-022  7.878E-020  8.500E-002  1.171E-024  5.193E-027  4.140E-016
     3.162E-009  1.942E-013  1.944E-022  1.445E-020  5.980E-019  1.746E-022  9.918E-020  8.500E-002  1.855E-024  8.231E-027  5.212E-016
     3.981E-009  2.445E-013  2.448E-022  1.819E-020  7.528E-019  2.767E-022  1.249E-019  8.500E-002  2.940E-024  1.305E-026  6.562E-016
     5.012E-009  3.078E-013  3.081E-022  2.290E-020  9.477E-019  4.385E-022  1.572E-019  8.500E-002  4.659E-024  2.068E-026  8.260E-016
     6.310E-009  3.874E-013  3.879E-022  2.884E-020  1.193E-018  6.949E-022  1.979E-019  8.500E-002  7.383E-024  3.277E-026  1.040E-015
     7.943E-009  4.878E-013  4.884E-022  3.630E-020  1.502E-018  1.101E-021  2.491E-019  8.500E-002  1.170E-023  5.193E-026  1.309E-015
     1.000E-008  6.140E-013  6.148E-022  4.570E-020  1.890E-018  1.745E-021  3.136E-019  8.500E-002  1.854E-023  8.231E-026  1.648E-015
     1.259E-008  7.730E-013  7.740E-022  5.753E-020  2.379E-018  2.765E-021  3.948E-019  8.500E-002  2.937E-023  1.305E-025  2.075E-015
     1.585E-008  9.732E-013  9.744E-022  7.243E-020  2.994E-018  4.382E-021  4.971E-019  8.500E-002  4.653E-023  2.067E-025  2.612E-015
     1.995E-008  1.225E-012  1.227E-021  9.119E-020  3.767E-018  6.943E-021  6.258E-019  8.500E-002  7.372E-023  3.277E-025  3.289E-015
     2.512E-008  1.542E-012  1.544E-021  1.148E-019  4.741E-018  1.100E-020  7.878E-019  8.500E-002  1.168E-022  5.193E-025  4.140E-015
     3.162E-008  1.942E-012  1.944E-021  1.445E-019  5.965E-018  1.743E-020  9.918E-019  8.500E-002  1.849E-022  8.231E-025  5.212E-015
     3.981E-008  2.444E-012  2.448E-021  1.819E-019  7.503E-018  2.761E-020  1.249E-018  8.500E-002  2.929E-022  1.304E-024  6.561E-015
     5.012E-008  3.077E-012  3.081E-021  2.290E-019  9.437E-018  4.372E-020  1.572E-018  8.500E-002  4.636E-022  2.067E-024  8.260E-015
     6.310E-008  3.874E-012  3.879E-021  2.884E-019  1.187E-017  6.924E-020  1.979E-018  8.500E-002  7.338E-022  3.277E-024  1.040E-014
     7.943E-008  4.876E-012  4.884E-021  3.630E-019  1.492E-017  1.096E-019  2.491E-018  8.500E-002  1.161E-021  5.193E-024  1.309E-014
     1.000E-007  6.139E-012  6.148E-021  4.570E-019  1.874E-017  1.735E-019  3.136E-018  8.500E-002  1.836E-021  8.230E-024  1.648E-014
     1.259E-007  7.728E-012  7.740E-021  5.753E-019  2.354E-017  2.746E-019  3.948E-018  8.500E-002  2.902E-021  1.304E-023  2.075E-014
     1.585E-007  9.727E-012  9.744E-021  7.243E-019  2.954E-017  4.343E-019  4.971E-018  8.500E-002  4.583E-021  2.067E-023  2.612E-014
     1.995E-007  1.224E-011  1.227E-020  9.118E-019  3.705E-017  6.866E-019  6.258E-018  8.500E-002  7.232E-021  3.276E-023  3.288E-014
     2.512E-007  1.541E-011  1.544E-020  1.148E-018  4.642E-017  1.085E-018  7.878E-018  8.500E-002  1.140E-020  5.193E-023  4.140E-014
     3.162E-007  1.940E-011  1.944E-020  1.445E-018  5.809E-017  1.712E-018  9.918E-018  8.500E-002  1.794E-020  8.230E-023  5.212E-014
     3.981E-007  2.442E-011  2.448E-020  1.819E-018  7.258E-017  2.701E-018  1.249E-017  8.500E-002  2.819E-020  1.304E-022  6.561E-014
     5.012E-007  3.073E-011  3.081E-020  2.290E-018  9.051E-017  4.253E-018  1.572E-017  8.500E-002  4.420E-020  2.067E-022  8.259E-014
