Legend of N2 shielding tables

N(N2) - rows       N(H2) - columns
1.000e+10     1.000e+14
1.585e+10     1.585e+14
2.512e+10     2.512e+14
3.981e+10     3.981e+14
6.310e+10     6.310e+14
1.000e+11     1.000e+15
1.585e+11     1.585e+15
2.512e+11     2.512e+15
3.981e+11     3.981e+15
6.310e+11     6.310e+15
1.000e+12     1.000e+16
1.585e+12     1.585e+16
2.512e+12     2.512e+16
3.981e+12     3.981e+16
6.310e+12     6.310e+16
1.000e+13     1.000e+17
1.585e+13     1.585e+17
2.512e+13     2.512e+17
3.981e+13     3.981e+17
6.310e+13     6.310e+17
1.000e+14     1.000e+18
1.585e+14     1.585e+18
2.512e+14     2.512e+18
3.981e+14     3.981e+18
6.310e+14     6.310e+18
1.000e+15     1.000e+19
1.585e+15     1.585e+19
2.512e+15     2.512e+19
3.981e+15     3.981e+19
6.310e+15     6.310e+19
1.000e+16     1.000e+20
1.585e+16     1.585e+20
2.512e+16     2.512e+20
3.981e+16     3.981e+20
6.310e+16     6.310e+20
1.000e+17     1.000e+21
1.585e+17     1.585e+21
2.512e+17     2.512e+21
3.981e+17     3.981e+21
6.310e+17     6.310e+21
1.000e+18     1.000e+22
1.585e+18     1.585e+22
2.512e+18     2.512e+22
3.981e+18     3.981e+22
6.310e+18     6.310e+22
1.000e+19     1.000e+23
